tiempo,a_x,a_y,a_z,a_mod
6.865000000000000213e+00,-9.184512258958490993e-02,1.416896866355941420e-01,9.798545230139554363e+00,9.800000006170051847e+00
6.900000000000000355e+00,-9.184513482539093110e-02,1.416896914029119325e-01,9.798545220612290052e+00,9.799999996827800430e+00
6.929999999999999716e+00,-9.184512641640386887e-02,1.416896881711442457e-01,9.798545227119573653e+00,9.800000003208584332e+00
6.964999999999999858e+00,-9.184513059141496960e-02,1.416896898205626532e-01,9.798545223843877494e+00,9.799999999996350297e+00
6.995000000000000107e+00,-9.184512245642763306e-02,1.416896866944924449e-01,9.798545230138669737e+00,9.800000006168769318e+00
7.030000000000000249e+00,-9.184513051934416195e-02,1.416896898473372080e-01,9.798545223849538743e+00,9.800000000001722000e+00
7.065000000000000391e+00,-9.184513531964696997e-02,1.416896917347033324e-01,9.798545220097205188e+00,9.799999996322220852e+00
7.094999999999999751e+00,-9.184513372281505328e-02,1.416896911439449736e-01,9.798545221309316489e+00,9.799999997510646210e+00
7.129999999999999893e+00,-9.184512652736807892e-02,1.416896883871004431e-01,9.798545226869411096e+00,9.800000002962621082e+00
7.160000000000000142e+00,-9.184513522124822249e-02,1.416896917778590337e-01,9.798545220097869546e+00,9.799999996322588558e+00
7.195000000000000284e+00,-9.184513518495097950e-02,1.416896917935442646e-01,9.798545220097418351e+00,9.799999996322023676e+00
7.230000000000000426e+00,-9.184513097457108755e-02,1.416896901946365361e-01,9.798545223334194532e+00,9.799999999495742742e+00
7.259999999999999787e+00,-9.184512607624421843e-02,1.416896883201357316e-01,9.798545227119658918e+00,9.800000003207635757e+00
7.294999999999999929e+00,-9.184512702316846577e-02,1.416896887188126564e-01,9.798545226354313797e+00,9.800000002457043280e+00
7.325000000000000178e+00,-9.184512699409082270e-02,1.416896887327051546e-01,9.798545226356003113e+00,9.800000002458661541e+00
7.360000000000000320e+00,-9.184513435430015360e-02,1.416896916115290284e-01,9.798545220615011431e+00,9.799999996829122040e+00
7.394999999999999574e+00,-9.184512626007805547e-02,1.416896885077509605e-01,9.798545226871613778e+00,9.800000002964063484e+00
7.424999999999999822e+00,-9.184512525425034268e-02,1.416896881411955633e-01,9.798545227632695642e+00,9.800000003710305663e+00
7.459999999999999964e+00,-9.184512587265690475e-02,1.416896884113316712e-01,9.798545227121746137e+00,9.800000003209133226e+00
